[ITEN1 Reference Specific Tension],[ITEN2 Reference Specific Tension],[ITEN1 Actual Specific Tension],[ITEN2 Actual Specific Tension],[ITEN3 Reference Specific Tension],[ITEN4 Reference Specific Tension],[ITEN3 Actual Specific Tension],[ITEN4 Actual Specific Tension],[Rolling Speed]
ITEN1 Reference Specific Tension,ITEN2 Reference Specific Tension,ITEN1 Actual Specific Tension,ITEN2 Actual Specific Tension,ITEN3 Reference Specific Tension,ITEN4 Reference Specific Tension,ITEN3 Actual Specific Tension,ITEN4 Actual Specific Tension,Rolling Speed
76.3722,97.9031,76.3722,97.9031,79.6642,89.6511,79.6642,89.6511,0
76.3722,97.9031,76.3722,97.9031,79.6642,89.6285,79.6642,89.6285,0
76.3722,97.9031,76.3722,97.9031,79.9701,89.6285,79.9701,89.6285,0
76.3722,97.9031,76.3722,97.9031,79.9701,89.6285,79.9701,89.6285,0
76.4149,97.9046,76.4149,97.9046,79.9701,89.6285,79.9701,89.6285,0
76.4149,97.9046,76.4149,97.9046,79.9701,89.6684,79.9701,89.6684,0
76.4149,97.9046,76.4149,97.9046,80.3579,89.6684,80.3579,89.6684,0
76.4556,97.9091,76.4556,97.9091,80.3579,89.6684,80.3579,89.6684,0
76.4556,97.9091,76.4556,97.9091,80.3579,89.6684,80.3579,89.6684,0
76.4556,97.9091,76.4556,97.9091,80.3579,89.4825,80.3579,89.4825,0
76.4556,97.9091,76.4556,97.9091,80.7269,89.4825,80.7269,89.4825,0
76.4921,97.9091,76.4921,97.9091,80.7269,89.4825,80.7269,89.4825,0
76.4921,97.9389,76.4921,97.9389,80.7269,89.4825,80.7269,89.4825,0
76.4921,97.9389,76.4921,97.9389,80.7269,89.4825,80.7269,89.4825,0
76.4921,97.9389,76.4921,97.9389,81.0634,89.3452,81.0634,89.3452,0
76.5073,97.9608,76.5073,97.9608,81.0634,89.3452,81.0634,89.3452,0
76.5073,97.9608,76.5073,97.9608,81.0634,89.3452,81.0634,89.3452,0
76.5073,97.9608,76.5073,97.9608,81.0634,89.3395,81.0634,89.3395,0
76.5073,97.9608,76.5073,97.9608,81.2954,89.3395,81.2954,89.3395,0
76.5217,97.9608,76.5217,97.9608,81.2954,89.3395,81.2954,89.3395,0
76.5217,97.9731,76.5217,97.9731,81.2954,89.3395,81.2954,89.3395,0
76.5217,97.9731,76.5217,97.9731,81.2954,89.3709,81.2954,89.3709,0
76.5217,97.9731,76.5217,97.9731,81.5086,89.3709,81.5086,89.3709,0
76.5217,97.9731,76.5217,97.9731,81.5086,89.3709,81.5086,89.3709,0
76.5927,98.0491,76.5927,98.0491,81.5086,89.3709,81.5086,89.3709,0
76.5927,98.0491,76.5927,98.0491,81.5086,89.3709,81.5086,89.3709,0
76.5927,98.0491,76.5927,98.0491,81.7155,89.2837,81.7155,89.2837,0
76.6514,98.0999,76.6514,98.0999,81.7155,89.2837,81.7155,89.2837,0
76.6514,98.0999,76.6514,98.0999,81.7155,89.2837,81.7155,89.2837,0
76.6514,98.0999,76.6514,98.0999,81.7155,89.2109,81.7155,89.2109,0
76.6514,98.0999,76.6514,98.0999,81.8334,89.2109,81.8334,89.2109,0
76.6384,98.0999,76.6384,98.0999,81.8334,89.2109,81.8334,89.2109,0
76.6384,98.1033,76.6384,98.1033,81.8334,89.2109,81.8334,89.2109,0
76.6384,98.1033,76.6384,98.1033,81.8334,89.2109,81.8334,89.2109,0
76.6384,98.1033,76.6384,98.1033,81.845,89.2408,81.845,89.2408,0
